foe_sam_time,foe_sam_id,foe_sam_x,foe_sam_y
28,5982.0-532.0,167.61207133833403,520.047445515866
30,5982.0-532.0,165.30993155062396,511.1615538711233
32,5982.0-532.0,163.00779176291388,502.27566222638063
32,2972.0-292.0,167.37724386147931,520.1905590417674
34,5982.0-532.0,160.7056519752038,493.38977058163795
34,2972.0-292.0,164.56255739662487,511.45348527368975
36,5982.0-532.0,158.40351218749373,484.50387893689526
36,2972.0-292.0,161.74787093177042,502.7164115056121
36,6213.0-113.0,168.72369707882643,519.9102378311085
38,5982.0-532.0,156.10137239978366,475.6179872921526
38,2972.0-292.0,158.93318446691598,493.9793377375344
38,6213.0-113.0,166.97774463102945,510.8985472031354
40,5982.0-532.0,153.79923261207358,466.7320956474099
40,2972.0-292.0,156.11849800206153,485.24226396945676
40,6213.0-113.0,165.23179218323247,501.88685657516237
40,8551.0-1532.0,171.22532547140662,519.7494103066385
42,5982.0-532.0,151.4970928243635,457.8462040026672
42,2972.0-292.0,153.30381153720708,476.5051902013791
42,6213.0-113.0,163.4858397354355,492.8751659471893
42,8551.0-1532.0,171.70328221590017,510.5825965049592
44,5982.0-532.0,149.19495303665343,448.9603123579245
44,2972.0-292.0,150.48912507235264,467.76811643330143
44,6213.0-113.0,161.7398872876385,483.86347531921626
44,8551.0-1532.0,172.18123896039373,501.4157827032799
44,7762.0-3912.0,202.51025375213536,550.1738713779034
44,7588.0-2816.0,170.5633966971725,519.7428723421931
46,5982.0-532.0,146.89281324894336,440.07442071318184
46,2972.0-292.0,147.6744386074982,459.03104266522377
46,6213.0-113.0,159.99393483984153,474.8517846912432
46,8551.0-1532.0,172.65919570488728,492.24896890160056
46,7762.0-3912.0,198.17673374993015,542.0819295642993
46,7588.0-2816.0,170.10170546714227,510.5752249268319
48,5982.0-532.0,144.59067346123328,431.18852906843915
48,2972.0-292.0,144.85975214264374,450.2939688971461
48,6213.0-113.0,158.24798239204455,465.84009406327016
48,8551.0-1532.0,173.13715244938084,483.08215509992124
48,7762.0-3912.0,193.84321374772495,533.9899877506953
48,7588.0-2816.0,169.64001423711207,501.40757751147066
