time,fri_ship_id,fri_sam_mode,fri_sam_target,fri_sam_id,fri_sam_cla,fri_sam_x,fri_sam_y
24,1,ccm,997.0-3673.0,3730.0-2240.0,LSAM,60.844914949480774,49.86333843523129
26,1,ccm,997.0-3673.0,3730.0-2240.0,LSAM,70.02316323229492,49.72667687046258
28,1,ccm,997.0-3673.0,3730.0-2240.0,LSAM,79.20141151510906,49.590015305693875
28,1,ccm,9931.0-155.0,1294.0-4299.0,LSAM,60.98692168790123,48.4212273039379
30,1,ccm,997.0-3673.0,3730.0-2240.0,LSAM,88.37965979792321,49.45335374092517
30,1,ccm,9931.0-155.0,1294.0-4299.0,LSAM,70.02939893135806,46.842454607875794
32,1,ccm,997.0-3673.0,3730.0-2240.0,LSAM,97.55790808073735,49.31669217615646
32,1,ccm,9931.0-155.0,1294.0-4299.0,LSAM,79.07187617481489,45.26368191181369
32,1,ccm,997.0-3673.0,8204.0-1760.0,LSAM,61.387897897383525,49.50069313841954
34,1,ccm,997.0-3673.0,3730.0-2240.0,LSAM,106.73615636355149,49.18003061138775
34,1,ccm,9931.0-155.0,1294.0-4299.0,LSAM,88.11435341827172,43.68490921575159
34,1,ccm,997.0-3673.0,8204.0-1760.0,LSAM,70.55357357254488,49.001386276839085
36,1,ccm,997.0-3673.0,3730.0-2240.0,LSAM,115.91440464636563,49.04336904661904
36,1,ccm,9931.0-155.0,1294.0-4299.0,LSAM,97.15683066172855,42.106136519689485
36,1,ccm,997.0-3673.0,8204.0-1760.0,LSAM,79.71924924770623,48.50207941525863
36,1,ccm,997.0-3673.0,2289.0-3884.0,LSAM,61.55065993280364,48.46883289448619
38,1,ccm,997.0-3673.0,3730.0-2240.0,LSAM,125.09265292917978,48.90670748185033
38,1,ccm,9931.0-155.0,1294.0-4299.0,LSAM,106.19930790518538,40.52736382362738
38,1,ccm,997.0-3673.0,8204.0-1760.0,LSAM,88.88492492286758,48.00277255367817
38,1,ccm,997.0-3673.0,2289.0-3884.0,LSAM,70.60131986560734,46.93766578897238
40,1,ccm,997.0-3673.0,3730.0-2240.0,LSAM,134.27090121199393,48.770045917081625
40,1,ccm,9931.0-155.0,1294.0-4299.0,LSAM,115.24178514864221,38.94859112756528
40,1,ccm,997.0-3673.0,8204.0-1760.0,LSAM,98.05060059802894,47.50346569209771
40,1,ccm,997.0-3673.0,2289.0-3884.0,LSAM,79.65197979841103,45.40649868345857
40,1,ccm,1498.0-2387.0,5948.0-688.0,LSAM,61.95677080420691,49.92925436387977
42,1,ccm,997.0-3673.0,3730.0-2240.0,LSAM,143.44914949480807,48.633384352312916
42,1,ccm,9931.0-155.0,1294.0-4299.0,LSAM,124.28426239209904,37.36981843150318
42,1,ccm,997.0-3673.0,8204.0-1760.0,LSAM,107.21627627319029,47.004158830517255
42,1,ccm,997.0-3673.0,2289.0-3884.0,LSAM,88.70263973121473,43.87533157794476
42,1,ccm,1498.0-2387.0,5948.0-688.0,LSAM,71.13576383063611,49.85850872775954
44,1,ccm,997.0-3673.0,3730.0-2240.0,LSAM,152.6273977776222,48.49672278754421
44,1,ccm,9931.0-155.0,1294.0-4299.0,LSAM,133.32673963555587,35.791045735441074
44,1,ccm,997.0-3673.0,8204.0-1760.0,LSAM,116.38195194835164,46.50485196893679
44,1,ccm,997.0-3673.0,2289.0-3884.0,LSAM,97.75329966401843,42.344164472430954
44,1,ccm,1498.0-2387.0,5948.0-688.0,LSAM,80.3147568570653,49.78776309163931
46,1,ccm,997.0-3673.0,3730.0-2240.0,LSAM,161.80564606043635,48.3600612227755
46,1,ccm,9931.0-155.0,1294.0-4299.0,LSAM,142.3692168790127,34.21227303937897
46,1,ccm,997.0-3673.0,8204.0-1760.0,LSAM,125.547627623513,46.00554510735633
46,1,ccm,997.0-3673.0,2289.0-3884.0,LSAM,106.80395959682212,40.812997366917145
46,1,ccm,1498.0-2387.0,5948.0-688.0,LSAM,89.4937498834945,49.717017455519084
48,1,brm,997.0-3673.0,3730.0-2240.0,LSAM,170.98389434325048,48.22339965800679
48,1,ccm,9931.0-155.0,1294.0-4299.0,LSAM,151.41169412246953,32.63350034331687
48,1,ccm,997.0-3673.0,8204.0-1760.0,LSAM,134.71330329867436,45.50623824577587
48,1,ccm,997.0-3673.0,2289.0-3884.0,LSAM,115.85461952962582,39.28183026140333
48,1,ccm,1498.0-2387.0,5948.0-688.0,LSAM,98.6727429099237,49.646271819398855
50,1,brm,997.0-3673.0,3730.0-2240.0,LSAM,180.16214262606462,48.08673809323808
50,1,brm,9931.0-155.0,1294.0-4299.0,LSAM,160.45417136592636,31.05472764725476
50,1,ccm,997.0-3673.0,8204.0-1760.0,LSAM,143.8789789738357,45.00693138419541
50,1,ccm,997.0-3673.0,2289.0-3884.0,LSAM,124.90527946242952,37.75066315588952
50,1,ccm,1498.0-2387.0,5948.0-688.0,LSAM,107.8517359363529,49.575526183278626
52,1,brm,997.0-3673.0,3730.0-2240.0,LSAM,189.34039090887876,47.950076528469374
52,1,brm,9931.0-155.0,1294.0-4299.0,LSAM,169.4966486093832,29.475954951192655
52,1,ccm,997.0-3673.0,8204.0-1760.0,LSAM,153.04465464899704,44.50762452261495
52,1,ccm,997.0-3673.0,2289.0-3884.0,LSAM,133.95593939523323,36.21949605037571
52,1,ccm,1498.0-2387.0,5948.0-688.0,LSAM,117.03072896278209,49.5047805471584
54,1,brm,997.0-3673.0,3730.0-2240.0,LSAM,198.5158630768719,47.6862045544954
54,1,brm,9931.0-155.0,1294.0-4299.0,LSAM,178.53912585284002,27.89718225513055
54,1,brm,997.0-3673.0,8204.0-1760.0,LSAM,162.21033032415838,44.00831766103449
54,1,ccm,997.0-3673.0,2289.0-3884.0,LSAM,143.00659932803694,34.688328944861894
54,1,brm,1498.0-2387.0,5948.0-688.0,LSAM,126.20972198921129,49.43403491103817
56,1,brm,997.0-3673.0,3730.0-2240.0,LSAM,207.69058626632395,47.39746189883664
56,1,brm,9931.0-155.0,1294.0-4299.0,LSAM,187.58160309629685,26.318409559068442
56,1,brm,997.0-3673.0,8204.0-1760.0,LSAM,171.37600599931972,43.509010799454025
56,1,ccm,997.0-3673.0,2289.0-3884.0,LSAM,152.05725926084065,33.15716183934808
56,1,brm,1498.0-2387.0,5948.0-688.0,LSAM,135.38871501564049,49.363289274917946
58,1,brm,997.0-3673.0,3730.0-2240.0,LSAM,216.8643113870881,47.07858052132033
58,1,brm,9931.0-155.0,1294.0-4299.0,LSAM,196.62408033975368,24.739636863006336
58,1,brm,997.0-3673.0,8204.0-1760.0,LSAM,180.54168167448108,43.00970393787357
58,1,brm,997.0-3673.0,2289.0-3884.0,LSAM,161.10791919364436,31.625994733834265
58,1,brm,1498.0-2387.0,5948.0-688.0,LSAM,144.56770804206968,49.29254363879772
60,1,brm,997.0-3673.0,3730.0-2240.0,LSAM,226.03664324154272,46.721864561455035
60,1,brm,9931.0-155.0,1294.0-4299.0,LSAM,205.6665575832105,23.16086416694423
60,1,brm,997.0-3673.0,8204.0-1760.0,LSAM,189.71933617882075,43.18167987583976
60,1,brm,997.0-3673.0,2289.0-3884.0,LSAM,170.15857912644807,30.094827628320452
60,1,brm,1498.0-2387.0,5948.0-688.0,LSAM,153.74670106849888,49.22179800267749
62,1,brm,997.0-3673.0,3730.0-2240.0,LSAM,235.20689429784562,46.31515399035891
62,1,brm,9931.0-155.0,1294.0-4299.0,LSAM,214.56696999886506,25.40620974291424
62,1,brm,997.0-3673.0,8204.0-1760.0,LSAM,198.8971636140589,43.3441652390443
62,1,brm,997.0-3673.0,2289.0-3884.0,LSAM,179.2092390592518,28.56366052280664
62,1,brm,1498.0-2387.0,5948.0-688.0,LSAM,162.92569409492808,49.151052366557266
64,1,brm,997.0-3673.0,3730.0-2240.0,LSAM,244.37368600505948,45.83677368054168
64,1,brm,9931.0-155.0,1294.0-4299.0,LSAM,223.453561355803,27.705647060838302
64,1,brm,997.0-3673.0,8204.0-1760.0,LSAM,208.07518752973792,43.49514513005573
64,1,brm,997.0-3673.0,2289.0-3884.0,LSAM,188.2598989920555,27.032493417292827
64,1,brm,1498.0-2387.0,5948.0-688.0,LSAM,172.10468712135727,49.080306730437044
66,1,brm,997.0-3673.0,3730.0-2240.0,LSAM,253.53346667769043,45.23899784165038
66,1,brm,9931.0-155.0,1294.0-4299.0,LSAM,232.32176966265922,30.074992825067817
66,1,brm,997.0-3673.0,8204.0-1760.0,LSAM,217.2534377942545,43.63167353796793
66,1,brm,997.0-3673.0,2289.0-3884.0,LSAM,197.22368057938147,29.00974847898363
66,1,brm,1498.0-2387.0,5948.0-688.0,LSAM,181.28368014778647,49.009561094316815
68,1,destroyed,997.0-3673.0,3730.0-2240.0,LSAM,262.6696325626292,44.35052114125401
68,1,brm,9931.0-155.0,1294.0-4299.0,LSAM,241.1635829467542,32.541013054803905
68,1,destroyed,997.0-3673.0,8204.0-1760.0,LSAM,226.4319524542721,43.74908972129707
68,1,destroyed,997.0-3673.0,2289.0-3884.0,LSAM,206.17293732930526,31.051738084297344
68,1,brm,1498.0-2387.0,5948.0-688.0,LSAM,190.4262816057212,48.18995356285082
70,1,brm,9931.0-155.0,1294.0-4299.0,LSAM,249.96210009274708,35.15731081231066
70,1,brm,1498.0-2387.0,5948.0-688.0,LSAM,199.5629234676976,47.30638499717747
72,1,destroyed,9931.0-155.0,1294.0-4299.0,LSAM,258.6653461942929,38.07491688924992
72,1,brm,1498.0-2387.0,5948.0-688.0,LSAM,208.6914911330627,46.34296904177897
74,1,brm,1498.0-2387.0,5948.0-688.0,LSAM,217.80840844494307,45.27491630309888
76,1,brm,1498.0-2387.0,5948.0-688.0,LSAM,226.90677399492733,44.05891373602705
78,1,brm,1498.0-2387.0,5948.0-688.0,LSAM,235.9698598906801,42.603100571341166
80,1,destroyed,1498.0-2387.0,5948.0-688.0,LSAM,244.93009747818388,40.609846874555274
122,1,ccm,9931.0-155.0,1270.0-4834.0,MSAM,67.49154721055883,48.2939241871977
124,1,ccm,9931.0-155.0,1270.0-4834.0,MSAM,76.51087219889564,46.587848374395406
126,1,ccm,9931.0-155.0,1270.0-4834.0,MSAM,85.53019718723246,44.88177256159311
126,1,ccm,165.0-2407.0,2605.0-4486.0,MSAM,67.73666732722654,48.12951122055723
128,1,ccm,9931.0-155.0,1270.0-4834.0,MSAM,94.54952217556927,43.17569674879081
128,1,ccm,165.0-2407.0,2605.0-4486.0,MSAM,76.72333465445328,46.25902244111445
130,1,ccm,9931.0-155.0,1270.0-4834.0,MSAM,103.56884716390607,41.46962093598851
130,1,ccm,165.0-2407.0,2605.0-4486.0,MSAM,85.71000198168002,44.38853366167168
130,1,ccm,8489.0-701.0,3767.0-1681.0,MSAM,68.17457505225532,49.2286261970534
132,1,ccm,9931.0-155.0,1270.0-4834.0,MSAM,112.58817215224288,39.76354512318621
132,1,ccm,165.0-2407.0,2605.0-4486.0,MSAM,94.69666930890676,42.51804488222891
132,1,ccm,8489.0-701.0,3767.0-1681.0,MSAM,77.32137232673307,48.4572523941068
134,1,brm,9931.0-155.0,1270.0-4834.0,MSAM,121.60749714057968,38.05746931038391
134,1,ccm,165.0-2407.0,2605.0-4486.0,MSAM,103.6833366361335,40.64755610278613
134,1,ccm,8489.0-701.0,3767.0-1681.0,MSAM,86.46816960121082,47.685878591160204
134,1,ccm,9931.0-155.0,4514.0-4201.0,MSAM,67.99132172803426,47.03076037994798
136,1,brm,9931.0-155.0,1270.0-4834.0,MSAM,130.6268221289165,36.35139349758161
136,1,brm,165.0-2407.0,2605.0-4486.0,MSAM,112.67000396336024,38.77706732334336
136,1,ccm,8489.0-701.0,3767.0-1681.0,MSAM,95.61496687568857,46.914504788213605
136,1,ccm,9931.0-155.0,4514.0-4201.0,MSAM,76.67708790051319,44.061520759895956
138,1,brm,9931.0-155.0,1270.0-4834.0,MSAM,139.6089343333762,34.45915189811236
138,1,brm,165.0-2407.0,2605.0-4486.0,MSAM,121.65667129058698,36.90657854390059
138,1,brm,8489.0-701.0,3767.0-1681.0,MSAM,104.76176415016631,46.14313098526701
138,1,ccm,9931.0-155.0,4514.0-4201.0,MSAM,85.3628540729921,41.092281139843934
138,1,ccm,6573.0-1247.0,1231.0-2715.0,MSAM,68.75624666147976,49.658563331530765
140,1,brm,9931.0-155.0,1270.0-4834.0,MSAM,148.5166384975684,32.24291083552499
140,1,brm,165.0-2407.0,2605.0-4486.0,MSAM,130.64333861781373,35.03608976445781
140,1,brm,8489.0-701.0,3767.0-1681.0,MSAM,113.90856142464406,45.37175718232041
140,1,ccm,9931.0-155.0,4514.0-4201.0,MSAM,94.04862024547103,38.12304151979191
140,1,ccm,6573.0-1247.0,1231.0-2715.0,MSAM,77.92915998962641,49.317126663061536
142,1,destroyed,9931.0-155.0,1270.0-4834.0,MSAM,157.23506184994648,29.37097556937175
142,1,brm,165.0-2407.0,2605.0-4486.0,MSAM,139.8114902231093,35.487658216170026
142,1,brm,8489.0-701.0,3767.0-1681.0,MSAM,123.05535869912181,44.6003833793738
142,1,destroyed,9931.0-155.0,4514.0-4201.0,MSAM,102.73438641794995,35.15380189973989
142,1,ccm,6573.0-1247.0,1231.0-2715.0,MSAM,87.10207331777306,48.9756899945923
144,1,destroyed,165.0-2407.0,2605.0-4486.0,MSAM,148.9804737549229,35.92200705937871
144,1,brm,8489.0-701.0,3767.0-1681.0,MSAM,132.23461451813512,44.58694710845117
144,1,brm,6573.0-1247.0,1231.0-2715.0,MSAM,96.27498664591971,48.63425332612307
146,1,brm,8489.0-701.0,3767.0-1681.0,MSAM,141.41380475678244,44.54973841339857
146,1,brm,6573.0-1247.0,1231.0-2715.0,MSAM,105.44789997406636,48.29281665765384
148,1,destroyed,8489.0-701.0,3767.0-1681.0,MSAM,150.59261616641498,44.45842012024111
148,1,brm,6573.0-1247.0,1231.0-2715.0,MSAM,114.61278762601803,47.77924850115502
150,1,brm,6573.0-1247.0,1231.0-2715.0,MSAM,123.77338082284372,47.19405604859187
152,1,destroyed,6573.0-1247.0,1231.0-2715.0,MSAM,132.92412623077826,46.47102326687925
